,image_name,pitchNegative,yawPositive,pitchYawPositive
0,00000.jpeg,0.7896396926747782,0.7896396926747782,0.7893267725692084
1,00001.jpeg,1.075664187467852,1.1354252165088579,0.9295475877194951
2,00002.jpeg,0.7394683543524152,1.1530491083951608,1.0621553043172425
3,00003.jpeg,1.1210301199467367,1.06367277458023,1.049821865609417
4,00004.jpeg,1.0834099768780097,1.077800337201459,1.1553278829276237
5,00005.jpeg,0.8919490852765305,1.145291212109425,1.079000432516643
6,00006.jpeg,0.8442850831677113,1.025963977749951,1.186714423115624
7,00007.jpeg,0.9815309122449299,1.016667075070301,1.128261916978871
8,00008.jpeg,1.0264829257675459,1.0364035950641193,1.1494822976797359
9,00009.jpeg,1.1649086118606078,0.9312107184873131,1.0525884069258051
10,00010.jpeg,0.9861787720771837,0.9055501745962966,1.1278968644882077
11,00011.jpeg,1.0604806122533716,1.0114447048701907,1.3052703221603572
12,00012.jpeg,0.9017787380038865,1.2085057639548573,1.2472235247442547
13,00013.jpeg,1.0454232872633917,1.2038691291774026,1.2170568472325043
14,00014.jpeg,1.1818259064897503,1.008118858523919,1.1375253144441806
15,00015.jpeg,1.1142234962234785,0.9442382610178761,1.1972474621663145
16,00016.jpeg,1.1144827211400032,1.1998004903063517,1.039581988845225
17,00017.jpeg,1.121178280015299,1.0478270656565085,1.2633816696830003
18,00018.jpeg,1.1309801722455342,1.0878371261684323,1.144694606595778
19,00019.jpeg,1.0770438536268738,1.0924966558850218,1.3009005675679584
20,00020.jpeg,1.2897922881689778,1.3053746473021004,1.322591681688913
21,00021.jpeg,1.4991885393513908,1.4087559651123924,1.3689680129432937
22,00022.jpeg,1.5522896503300765,1.3438601830859158,1.5564049602939931
23,00023.jpeg,1.4717692229219317,1.4366636749399653,1.7167484149490548
24,00024.jpeg,1.4615515105282795,1.339906728861763,1.6219404801727537
25,00025.jpeg,1.2773998228331571,1.2480141195403767,1.6590992668181763
26,00026.jpeg,1.469833174585263,1.6703719687702578,1.7158509611988313
27,00027.jpeg,1.455810384110007,1.516043271223934,1.8307772808530214
28,00028.jpeg,1.4078740098060656,1.444962456559671,1.9680360043651786
29,00029.jpeg,1.445646792149153,1.3525089051537584,2.1489256145696793
30,00030.jpeg,1.4923098866591298,1.529199371354251,2.0202674589402374
31,00031.jpeg,1.6079319472294984,1.847492283784383,2.2354795395155644
32,00032.jpeg,1.2347952962149167,1.5501833787405603,2.2714910517594755
33,00033.jpeg,1.4625862555645008,1.7983727901434148,2.673474495462166
