,image_name,pitchNegative
0,00000.jpeg,0.9792410894105573
1,00001.jpeg,0.9568664176507852
2,00002.jpeg,0.9668321139295211
3,00003.jpeg,0.9266144725669805
4,00004.jpeg,0.9199269330059552
5,00005.jpeg,0.9315917419857238
6,00006.jpeg,0.9310369493830086
7,00007.jpeg,0.9181991352891515
8,00008.jpeg,0.9014563327651043
9,00009.jpeg,0.932773867538726
10,00010.jpeg,0.9423859546679327
11,00011.jpeg,0.939923569666002
12,00012.jpeg,0.93344465666879
13,00013.jpeg,0.8969185611651593
14,00014.jpeg,0.8993441591662321
15,00015.jpeg,0.9125482470710334
16,00016.jpeg,0.8761294418397491
17,00017.jpeg,0.9052603289550004
18,00018.jpeg,0.8873165261378626
19,00019.jpeg,0.9122623241710996
20,00020.jpeg,0.8757219924465951
21,00021.jpeg,0.8870530789505687
22,00022.jpeg,0.8867483557984027
23,00023.jpeg,0.8634974194214375
24,00024.jpeg,0.8265988851670161
25,00025.jpeg,0.881510165946904
26,00026.jpeg,0.8577650563376648
27,00027.jpeg,0.8540361645464043
28,00028.jpeg,0.8587872432128245
29,00029.jpeg,0.8471197547802441
30,00030.jpeg,0.8531591991229266
31,00031.jpeg,0.8679654656105994
32,00032.jpeg,0.8049043727098053
33,00033.jpeg,0.8233909359039799
34,00034.jpeg,0.8462692311182141
35,00035.jpeg,0.8490321332624197
36,00036.jpeg,0.8459657249574892
37,00037.jpeg,0.8308432211616615
38,00038.jpeg,0.8026158684314817
39,00039.jpeg,0.7984877188674174
40,00040.jpeg,0.8032812648278155
41,00041.jpeg,0.8530365138410547
42,00042.jpeg,0.8459812413915951
43,00043.jpeg,0.8011541507672316
44,00044.jpeg,0.8097306808793104
45,00045.jpeg,0.7851380300401616
46,00046.jpeg,0.7649376248992102
47,00047.jpeg,0.813461529885509
48,00048.jpeg,0.8114449555371103
49,00049.jpeg,0.7814114152151992
50,00050.jpeg,0.801870290041769
51,00051.jpeg,0.760772583305792
52,00052.jpeg,0.7377760261309549
53,00053.jpeg,0.7758941542639004
54,00054.jpeg,0.7758892251785415
55,00055.jpeg,0.7470051766782045
56,00056.jpeg,0.7243063360921104
57,00057.jpeg,0.7125408828640327
58,00058.jpeg,0.7401056891097836
59,00059.jpeg,0.7811586637641811
60,00060.jpeg,0.7611164553414707
61,00061.jpeg,0.7383920803537184
62,00062.jpeg,0.7774126933135622
63,00063.jpeg,0.6558668136103083
64,00064.jpeg,0.7236186965348067
65,00065.jpeg,0.6225228304646622
66,00066.jpeg,0.6565143192694457
67,00067.jpeg,0.6295182316432564
68,00068.jpeg,0.698472786155087
69,00069.jpeg,0.6303830268105822
70,00070.jpeg,0.6841313066644049
71,00071.jpeg,0.6423075421563107
72,00072.jpeg,0.6682676288022597
73,00073.jpeg,0.6309345798984631
74,00074.jpeg,0.5984605524589213
75,00075.jpeg,0.6424092258176507
76,00076.jpeg,0.589051760494677
77,00077.jpeg,0.6011830028899885
78,00078.jpeg,0.5736071650081962
79,00079.jpeg,0.617217273821359
80,00080.jpeg,0.5966873188832729
81,00081.jpeg,0.5783655164715967
82,00082.jpeg,0.5810962753561183
83,00083.jpeg,0.569833148944606
84,00084.jpeg,0.5884047201862355
85,00085.jpeg,0.598409240422082
86,00086.jpeg,0.5816823721977954
87,00087.jpeg,0.5782306789454676
88,00088.jpeg,0.5219120237579893
89,00089.jpeg,0.5396216224405599
90,00090.jpeg,0.5573440354395084
91,00091.jpeg,0.5366764399386039
92,00092.jpeg,0.49465995377377614
93,00093.jpeg,0.5274026474806642
94,00094.jpeg,0.5438204861012051
95,00095.jpeg,0.5606451291376586
96,00096.jpeg,0.4926321094281368
97,00097.jpeg,0.4639248845411419
98,00098.jpeg,0.4984153652350001
99,00099.jpeg,0.530899199844619
